date,dayofweek,visiting_team,v_game_number,home_team,h_game_number,v_score,h_score,LOG_inouts,LOG_minutes,v_AB,v_H,v_2B,v_3B,v_HR,v_RBI,v_SF,v_HBP,v_BB,v_K,v_SB,v_GIDP,v_LOB,v_pitchers_used,v_ER,v_def_assists,v_errors_def,v_doubleplays_def,h_AB,h_H,h_2B,h_3B,h_HR,h_RBI,h_SF,h_HBP,h_BB,h_K,h_SB,h_GIDP,h_LOB,h_pitchers_used,h_ER,h_def_assists,h_errors_def,h_doubleplays_def
20190405,Fri,LAD,8,COL,8,10,6,54,232,37,13,2,1,3,10,1,0,6,5,0,1,8,7,6,10,1,2,34,10,0,0,3,6,1,0,6,7,0,1,8,5,9,8,1,2
20190405,Fri,CHC,7,MIL,8,10,13,51,216,39,12,1,0,3,10,0,2,2,14,0,0,6,6,13,11,2,3,36,15,2,0,5,13,0,0,5,8,1,3,5,5,10,10,0,0
20190405,Fri,MIN,6,PHI,6,4,10,51,211,38,11,1,1,2,4,0,0,1,10,0,0,8,6,8,10,3,1,33,11,3,0,0,9,1,1,9,7,0,1,10,5,3,9,1,0
20190405,Fri,CIN,7,PIT,6,0,2,51,145,28,3,2,0,0,0,0,1,1,10,0,0,3,5,2,8,0,0,29,5,2,0,0,2,0,0,0,8,1,0,4,3,0,14,0,1
20190405,Fri,TBD,8,SFG,8,5,2,54,186,38,11,4,0,2,5,0,1,1,8,0,0,8,5,2,8,2,1,36,8,3,0,0,2,0,1,2,8,1,1,10,5,5,8,1,0
20190405,Fri,SDP,8,STL,7,5,3,54,174,35,9,1,0,2,5,1,0,6,10,0,0,10,5,3,10,0,0,31,4,1,0,2,3,0,0,2,7,0,0,3,4,5,8,0,0
20190405,Fri,TEX,8,ANA,8,1,3,51,172,32,6,1,0,1,1,0,0,3,12,2,1,7,2,3,5,0,1,29,6,1,0,2,3,0,0,1,7,0,1,3,5,1,7,2,1
20190405,Fri,SEA,9,CHW,6,8,10,51,216,35,9,1,0,4,8,1,0,5,9,1,0,6,5,8,11,3,2,34,9,3,0,1,8,0,1,5,6,1,2,6,5,8,6,0,0
20190405,Fri,TOR,9,CLE,7,2,3,52,162,30,3,1,0,1,2,0,0,3,14,0,0,4,4,3,9,1,1,28,4,1,0,2,3,0,0,3,10,1,1,3,4,2,5,0,0
20190405,Fri,OAK,11,HOU,8,2,3,51,183,33,7,1,0,0,2,0,0,3,7,1,0,7,4,3,10,0,1,32,9,1,0,1,3,0,0,4,9,0,1,9,4,2,11,0,0
20190406,Sat,BOS,10,ARI,9,4,5,53,199,30,6,1,0,0,4,1,0,6,7,0,1,7,4,5,11,0,1,34,11,2,0,0,5,0,0,1,6,0,1,4,6,4,14,0,1
20190406,Sat,FLA,9,ATL,8,4,2,54,196,32,8,0,0,3,4,0,0,3,7,1,2,4,6,2,11,2,1,34,6,2,0,0,2,0,1,8,7,0,1,14,5,4,13,0,3
20190406,Sat,LAD,9,COL,9,7,2,54,199,31,11,1,2,1,7,3,1,3,9,0,2,5,6,2,7,0,1,32,6,1,0,1,2,0,0,4,6,0,1,7,5,7,11,0,3
20190406,Sat,CHC,8,MIL,9,14,8,54,234,39,12,2,0,4,14,1,0,9,11,3,0,8,5,8,13,1,0,35,10,2,0,3,8,1,0,3,7,0,0,6,5,14,11,2,0
20190406,Sat,WSN,7,NYM,8,5,6,51,193,32,7,1,0,2,4,0,0,6,11,0,0,7,5,6,9,0,1,32,11,2,0,5,6,0,1,2,10,1,1,5,5,4,11,0,0
20190406,Sat,MIN,7,PHI,7,6,2,54,170,33,7,0,0,3,5,0,1,5,1,1,2,6,5,2,10,0,1,32,7,2,0,1,2,1,0,3,6,0,0,7,4,6,12,1,2
20190406,Sat,CIN,8,PIT,7,5,6,58,191,38,8,2,0,2,5,0,0,0,9,0,1,3,6,6,12,0,0,38,12,4,0,1,6,0,0,3,8,1,0,8,5,4,13,1,1
20190406,Sat,TBD,9,SFG,9,4,6,51,171,35,9,1,0,0,4,1,0,2,5,1,0,7,4,6,7,1,0,30,8,1,0,1,6,1,0,3,4,1,0,5,6,4,10,0,0
20190406,Sat,SDP,9,STL,8,6,4,54,217,35,9,3,0,3,6,0,0,10,8,2,1,12,5,3,9,1,0,34,9,2,0,1,4,1,0,6,10,0,0,11,4,4,8,1,1
20190406,Sat,TEX,9,ANA,9,1,5,51,202,31,6,3,0,0,1,0,1,1,12,0,1,6,4,5,9,1,1,33,10,2,0,2,5,0,2,5,7,2,0,11,4,1,9,0,1
20190406,Sat,NYY,8,BAL,8,6,4,54,222,35,11,2,0,3,6,0,1,3,7,0,1,6,5,4,6,2,0,36,8,2,0,1,4,1,2,3,9,1,0,11,5,6,15,0,2
